# Time (s),Q1 (%),T1 Setpoint (°C),T1 (°C),Q2 (%),T2 Setpoint (°C),T2 (°C)
6.620000000000000284e+01,1.000000000000000000e+02,5.000000000000000000e+01,3.706449999999999534e+01,9.655759916666670506e+01,4.000000000000000000e+01,3.126309999999999789e+01
6.721999999999999886e+01,1.000000000000000000e+02,5.000000000000000000e+01,3.706449999999999534e+01,9.804287216666669735e+01,4.000000000000000000e+01,3.126309999999999789e+01
6.821999999999999886e+01,1.000000000000000000e+02,5.000000000000000000e+01,3.770909999999999940e+01,9.622230550000004712e+01,4.000000000000000000e+01,3.158539999999999637e+01
6.921999999999999886e+01,1.000000000000000000e+02,5.000000000000000000e+01,3.770909999999999940e+01,9.434802216666668073e+01,4.000000000000000000e+01,3.190769999999999840e+01
7.021999999999999886e+01,1.000000000000000000e+02,5.000000000000000000e+01,3.835369999999999635e+01,9.569673883333335596e+01,4.000000000000000000e+01,3.190769999999999840e+01
7.121999999999999886e+01,1.000000000000000000e+02,5.000000000000000000e+01,3.835369999999999635e+01,9.376873883333337290e+01,4.000000000000000000e+01,3.222999999999999687e+01
7.214000000000000057e+01,1.000000000000000000e+02,5.000000000000000000e+01,3.867599999999999483e+01,9.496013883333336025e+01,4.000000000000000000e+01,3.222999999999999687e+01
7.323999999999999488e+01,1.000000000000000000e+02,5.000000000000000000e+01,3.932059999999999889e+01,9.310255050000003507e+01,4.000000000000000000e+01,3.255229999999999535e+01
7.420999999999999375e+01,1.000000000000000000e+02,5.000000000000000000e+01,3.932059999999999889e+01,9.430659533333337663e+01,4.000000000000000000e+01,3.255229999999999535e+01
7.506000000000000227e+01,9.771112140000005297e+01,5.000000000000000000e+01,3.964289999999999736e+01,9.209302699999999220e+01,4.000000000000000000e+01,3.287460000000000093e+01
7.626000000000000512e+01,9.365797140000007914e+01,5.000000000000000000e+01,4.028749999999999432e+01,9.023064700000000471e+01,4.000000000000000000e+01,3.319689999999999941e+01
7.718999999999999773e+01,9.501286515000006716e+01,5.000000000000000000e+01,4.028749999999999432e+01,9.128512750000000153e+01,4.000000000000000000e+01,3.319689999999999941e+01
7.823000000000000398e+01,9.357703635000001441e+01,5.000000000000000000e+01,4.060979999999999990e+01,8.918546616666668569e+01,4.000000000000000000e+01,3.351919999999999789e+01
7.906999999999999318e+01,9.181889175000003434e+01,5.000000000000000000e+01,4.093209999999999837e+01,9.009277816666667604e+01,4.000000000000000000e+01,3.351919999999999789e+01
8.025000000000000000e+01,9.046616295000004015e+01,5.000000000000000000e+01,4.125439999999999685e+01,8.808094983333336359e+01,4.000000000000000000e+01,3.384149999999999636e+01
8.120999999999999375e+01,8.877841815000006420e+01,5.000000000000000000e+01,4.157669999999999533e+01,8.579174183333338988e+01,4.000000000000000000e+01,3.416379999999999484e+01
8.221999999999999886e+01,8.710501965000007374e+01,5.000000000000000000e+01,4.189899999999999380e+01,8.677416883333339115e+01,4.000000000000000000e+01,3.416379999999999484e+01
8.321999999999999886e+01,8.537112465000002715e+01,5.000000000000000000e+01,4.222129999999999939e+01,8.447015216666666504e+01,4.000000000000000000e+01,3.448610000000000042e+01
8.421999999999999886e+01,8.358888465000003976e+01,5.000000000000000000e+01,4.254359999999999786e+01,8.538913550000000896e+01,4.000000000000000000e+01,3.448610000000000042e+01
8.504999999999999716e+01,8.451720645000003174e+01,5.000000000000000000e+01,4.254359999999999786e+01,8.288430683333334059e+01,4.000000000000000000e+01,3.480839999999999890e+01
8.606999999999999318e+01,7.975801185000005944e+01,5.000000000000000000e+01,4.318819999999999482e+01,8.376687883333335094e+01,4.000000000000000000e+01,3.480839999999999890e+01
8.723000000000000398e+01,8.094326505000006478e+01,5.000000000000000000e+01,4.318819999999999482e+01,8.148527683333337279e+01,4.000000000000000000e+01,3.513069999999999737e+01
8.807999999999999829e+01,7.886997630000007575e+01,5.000000000000000000e+01,4.351049999999999329e+01,8.217509433333336233e+01,4.000000000000000000e+01,3.513069999999999737e+01
8.925000000000000000e+01,7.705161990000003414e+01,5.000000000000000000e+01,4.383279999999999887e+01,7.983875933333338537e+01,4.000000000000000000e+01,3.545299999999999585e+01
9.006000000000000227e+01,7.486107525000005580e+01,5.000000000000000000e+01,4.415509999999999735e+01,8.045260433333338312e+01,4.000000000000000000e+01,3.545299999999999585e+01
9.123999999999999488e+01,7.293787545000006389e+01,5.000000000000000000e+01,4.447739999999999583e+01,7.806046200000005797e+01,4.000000000000000000e+01,3.577529999999999433e+01
9.220000000000000284e+01,7.078601865000007365e+01,5.000000000000000000e+01,4.479969999999999430e+01,7.873641400000006740e+01,4.000000000000000000e+01,3.577529999999999433e+01
9.320999999999999375e+01,7.157386410000006549e+01,5.000000000000000000e+01,4.479969999999999430e+01,7.617031800000000885e+01,4.000000000000000000e+01,3.609759999999999991e+01
9.409000000000000341e+01,6.931706010000002038e+01,5.000000000000000000e+01,4.512199999999999989e+01,7.674267000000000394e+01,4.000000000000000000e+01,3.609759999999999991e+01
9.520000000000000284e+01,6.717488415000003954e+01,5.000000000000000000e+01,4.544429999999999836e+01,7.746461400000001163e+01,4.000000000000000000e+01,3.609759999999999991e+01
9.620999999999999375e+01,6.786507270000004155e+01,5.000000000000000000e+01,4.544429999999999836e+01,7.484426416666669013e+01,4.000000000000000000e+01,3.641989999999999839e+01
9.704999999999999716e+01,6.549778110000005427e+01,5.000000000000000000e+01,4.576659999999999684e+01,7.534547816666669462e+01,4.000000000000000000e+01,3.641989999999999839e+01
9.826000000000000512e+01,6.330694575000006807e+01,5.000000000000000000e+01,4.608889999999999532e+01,7.277946783333337066e+01,4.000000000000000000e+01,3.674219999999999686e+01
9.918999999999999773e+01,6.385254420000006803e+01,5.000000000000000000e+01,4.608889999999999532e+01,7.328442683333337015e+01,4.000000000000000000e+01,3.674219999999999686e+01
1.001500000000000057e+02,6.146863140000008485e+01,5.000000000000000000e+01,4.641119999999999379e+01,7.380567483333337009e+01,4.000000000000000000e+01,3.674219999999999686e+01
1.012300000000000040e+02,5.909710440000003473e+01,5.000000000000000000e+01,4.673349999999999937e+01,7.111106483333338701e+01,4.000000000000000000e+01,3.706449999999999534e+01
1.022000000000000028e+02,5.957238015000002918e+01,5.000000000000000000e+01,4.673349999999999937e+01,7.158563733333339485e+01,4.000000000000000000e+01,3.706449999999999534e+01
