# Time (s), Heater (%), T1 (°C)
2.010099999999999909e+02,2.000000000000000000e+01,5.441400000000000148e+01
2.020000000000000000e+02,2.000000000000000000e+01,5.473599999999999710e+01
2.030000000000000000e+02,2.000000000000000000e+01,5.476899999999999835e+01
2.040000000000000000e+02,2.000000000000000000e+01,5.476899999999999835e+01
2.050099999999999909e+02,2.000000000000000000e+01,5.502600000000000335e+01
2.060000000000000000e+02,2.000000000000000000e+01,5.502600000000000335e+01
2.070000000000000000e+02,2.000000000000000000e+01,5.509100000000000108e+01
2.080000000000000000e+02,2.000000000000000000e+01,5.512299999999999756e+01
2.090000000000000000e+02,2.000000000000000000e+01,5.528399999999999892e+01
2.100000000000000000e+02,2.000000000000000000e+01,5.534899999999999665e+01
2.110099999999999909e+02,2.000000000000000000e+01,5.541299999999999670e+01
2.120000000000000000e+02,2.000000000000000000e+01,5.534899999999999665e+01
2.130000000000000000e+02,2.000000000000000000e+01,5.538100000000000023e+01
2.140000000000000000e+02,2.000000000000000000e+01,5.544500000000000028e+01
2.150000000000000000e+02,2.000000000000000000e+01,5.538100000000000023e+01
2.160000000000000000e+02,2.000000000000000000e+01,5.544500000000000028e+01
2.170000000000000000e+02,2.000000000000000000e+01,5.538100000000000023e+01
2.180000000000000000e+02,2.000000000000000000e+01,5.538100000000000023e+01
2.190000000000000000e+02,2.000000000000000000e+01,5.538100000000000023e+01
2.200000000000000000e+02,2.000000000000000000e+01,5.538100000000000023e+01
2.210099999999999909e+02,2.000000000000000000e+01,5.538100000000000023e+01
2.220000000000000000e+02,2.000000000000000000e+01,5.538100000000000023e+01
2.230000000000000000e+02,2.000000000000000000e+01,5.531600000000000250e+01
2.240000000000000000e+02,2.000000000000000000e+01,5.518800000000000239e+01
2.250000000000000000e+02,2.000000000000000000e+01,5.515500000000000114e+01
2.260000000000000000e+02,2.000000000000000000e+01,5.505899999999999750e+01
2.270000000000000000e+02,2.000000000000000000e+01,5.512299999999999756e+01
2.280000000000000000e+02,2.000000000000000000e+01,5.505899999999999750e+01
2.290000000000000000e+02,2.000000000000000000e+01,5.505899999999999750e+01
2.300000000000000000e+02,2.000000000000000000e+01,5.486500000000000199e+01
2.310000000000000000e+02,2.000000000000000000e+01,5.480100000000000193e+01
2.320000000000000000e+02,2.000000000000000000e+01,5.473599999999999710e+01
2.330000000000000000e+02,2.000000000000000000e+01,5.473599999999999710e+01
2.340099999999999909e+02,2.000000000000000000e+01,5.470400000000000063e+01
2.350000000000000000e+02,2.000000000000000000e+01,5.451100000000000279e+01
2.360000000000000000e+02,2.000000000000000000e+01,5.441400000000000148e+01
2.370000000000000000e+02,2.000000000000000000e+01,5.438199999999999790e+01
2.380000000000000000e+02,2.000000000000000000e+01,5.438199999999999790e+01
2.390000000000000000e+02,2.000000000000000000e+01,5.438199999999999790e+01
2.400000000000000000e+02,2.000000000000000000e+01,5.409199999999999875e+01
2.410000000000000000e+02,2.000000000000000000e+01,5.409199999999999875e+01
2.420000000000000000e+02,2.000000000000000000e+01,5.409199999999999875e+01
2.430000000000000000e+02,2.000000000000000000e+01,5.377000000000000313e+01
2.440000000000000000e+02,2.000000000000000000e+01,5.377000000000000313e+01
2.450000000000000000e+02,2.000000000000000000e+01,5.380199999999999960e+01
2.460000000000000000e+02,2.000000000000000000e+01,5.364099999999999824e+01
2.470000000000000000e+02,2.000000000000000000e+01,5.347899999999999920e+01
2.480099999999999909e+02,2.000000000000000000e+01,5.344700000000000273e+01
2.490000000000000000e+02,2.000000000000000000e+01,5.344700000000000273e+01
2.500099999999999909e+02,2.000000000000000000e+01,5.318900000000000006e+01
2.510000000000000000e+02,2.000000000000000000e+01,5.312500000000000000e+01
2.520000000000000000e+02,2.000000000000000000e+01,5.309300000000000352e+01
2.530000000000000000e+02,2.000000000000000000e+01,5.309300000000000352e+01
2.540000000000000000e+02,2.000000000000000000e+01,5.283500000000000085e+01
2.550000000000000000e+02,2.000000000000000000e+01,5.280299999999999727e+01
2.560000000000000000e+02,2.000000000000000000e+01,5.280299999999999727e+01
2.570000000000000000e+02,2.000000000000000000e+01,5.254500000000000171e+01
2.580000000000000000e+02,2.000000000000000000e+01,5.247999999999999687e+01
2.590099999999999909e+02,2.000000000000000000e+01,5.247999999999999687e+01
2.600099999999999909e+02,2.000000000000000000e+01,5.247999999999999687e+01
2.610000000000000000e+02,2.000000000000000000e+01,5.231900000000000261e+01
2.620099999999999909e+02,2.000000000000000000e+01,5.218999999999999773e+01
2.630000000000000000e+02,2.000000000000000000e+01,5.209400000000000119e+01
2.640099999999999909e+02,2.000000000000000000e+01,5.183599999999999852e+01
2.650099999999999909e+02,2.000000000000000000e+01,5.183599999999999852e+01
2.660000000000000000e+02,2.000000000000000000e+01,5.180400000000000205e+01
2.670099999999999909e+02,2.000000000000000000e+01,5.157800000000000296e+01
2.680000000000000000e+02,2.000000000000000000e+01,5.154599999999999937e+01
2.690000000000000000e+02,2.000000000000000000e+01,5.151400000000000290e+01
2.700099999999999909e+02,2.000000000000000000e+01,5.141700000000000159e+01
2.710099999999999909e+02,2.000000000000000000e+01,5.122399999999999665e+01
2.720000000000000000e+02,2.000000000000000000e+01,5.115899999999999892e+01
2.730000000000000000e+02,2.000000000000000000e+01,5.109499999999999886e+01
2.740000000000000000e+02,2.000000000000000000e+01,5.086899999999999977e+01
2.750099999999999909e+02,2.000000000000000000e+01,5.090100000000000335e+01
2.760099999999999909e+02,2.000000000000000000e+01,5.083700000000000330e+01
2.770000000000000000e+02,2.000000000000000000e+01,5.074000000000000199e+01
2.780099999999999909e+02,2.000000000000000000e+01,5.054699999999999704e+01
2.790000000000000000e+02,2.000000000000000000e+01,5.054699999999999704e+01
2.800099999999999909e+02,2.000000000000000000e+01,5.051500000000000057e+01
2.810000000000000000e+02,2.000000000000000000e+01,5.022500000000000142e+01
2.820099999999999909e+02,2.000000000000000000e+01,5.025699999999999790e+01
2.830000000000000000e+02,2.000000000000000000e+01,5.012800000000000011e+01
2.840000000000000000e+02,2.000000000000000000e+01,4.996699999999999875e+01
2.850000000000000000e+02,2.000000000000000000e+01,4.986999999999999744e+01
2.860000000000000000e+02,2.000000000000000000e+01,4.986999999999999744e+01
